Paint name,Thin Munsell Hue,Thin Munsell Value,Thin Munsell Chroma,Thin L*,Thin A*,Thin B*,Thick Munsell Hue,Thick Munsell Value,Thick Munsell Chroma,Thick L*,Thick A*,Thick B*,,,,,,
Alizarin Crimson Hue ,3.1R,2.7,2.1,27.94,9.37,2.19,8.3R,1.1,3.9,11.83,19.06,5.45,,,,,,
Anthraquinone Blue ,3.2P,2.4,1.1,24.44,5.02,-6.00,5.0P,0.6,4.2,6.32,12.58,-13.54,,,,,,
Aureolin Hue ,1.8Y,6.6,9.7,65.75,14.21,63.61,2.3Y,6.5,11.6,64.80,13.52,76.94,,,,,,
Azurite Hue ,3.0PB,3.0,3.7,31.92,-5.25,-16.01,3.7PB,1.6,3.5,17.53,-2.90,-14.45,,,,,,
Benzimidazolone Yellow Light ,5.0Y,8.4,13.0,83.43,4.73,91.99,4.8Y,8.2,12.7,81.71,5.10,89.52,,,,,,
Benzimidazolone Yellow Medium ,2.6Y,8.1,14.0,80.04,15.76,93.13,2.8Y,8.0,14.1,78.83,15.38,94.40,,,,,,
Bismuth Vanadate ,7.7Y,9.1,12.4,90.21,-3.92,91.23,7.6Y,9.1,13.5,90.39,-3.97,99.70,,,,,,
Bone Black ,7.6PB,2.3,0.1,24.58,-0.03,-0.46,N0,1.0,0.5,11.69,-0.12,-0.47,,,,,,
Burnt Sienna ,0.2YR,3.3,3.9,33.67,16.86,12.58,1.1YR,3.0,4.4,30.44,18.67,15.84,,,,,,
Burnt Umber ,4.3YR,2.7,0.8,28.57,2.86,4.06,5.3YR,2.0,1.4,20.19,5.26,5.56,,,,,,
Burnt Umber Light ,2.9YR,2.9,1.6,30.12,6.41,8.95,4.9YR,2.4,2.2,23.91,8.56,9.52,,,,,,
C.P. Cadmium Orange ,0.9YR,6.4,15.2,63.85,53.50,63.60,1.6YR,6.3,18.4,62.31,58.20,86.20,,,,,,
C.P. Cadmium Red Dark ,4.6R,3.8,10.8,38.20,42.27,19.41,7.0R,3.3,13.6,32.89,54.58,33.90,,,,,,
C.P. Cadmium Red Light ,7.4R,5.1,15.2,51.78,57.62,42.74,8.6R,4.8,17.6,48.45,64.75,61.21,,,,,,
C.P. Cadmium Red Medium ,5.5R,4.2,12.6,42.85,50.10,27.70,7.8R,3.8,15.5,37.99,59.48,44.20,,,,,,
C.P. Cadmium Yellow Dark ,9.6YR,8.0,14.4,78.08,26.94,85.98,9.8YR,7.9,16.2,77.37,27.01,101.02,,,,,,
C.P. Cadmium Yellow Light ,7.2Y,9.0,12.9,88.89,-1.72,94.38,7.1Y,9.2,14.5,90.95,-2.03,106.38,,,,,,
C.P. Cadmium Yellow Med ,2.9Y,8.5,14.3,83.91,15.55,94.46,3.2Y,8.6,16.6,84.67,14.85,111.12,,,,,,
C.P. Cadmium Yellow Prim ,10.0Y,9.1,11.2,91.06,-8.78,85.05,9.8Y,9.2,12.0,91.09,-10.44,90.24,,,,,,
Cadmium Red Medium Hue ,6.4R,4.2,12.1,42.05,48.29,29.06,8.9R,3.6,15.0,36.10,56.55,50.45,,,,,,
Cadmium Yellow Medium Hue ,2.0Y,8.2,12.3,81.47,16.50,78.94,2.5Y,8.3,14.0,81.44,16.52,93.12,,,,,,
Carbon Black ,0.3YR,2.5,0.0,25.77,0.20,-0.17,N0,1.0,0.3,10.23,-0.17,-0.31,,,,,,
Cerulean Blue Chromium ,3.3PB,3.8,8.8,42.76,-12.04,-32.29,3.1PB,3.4,10.4,37.45,-13.14,-38.43,,,,,,
Cerulean Blue Deep ,9.5B,3.5,6.4,38.25,-16.56,-23.26,7.7B,2.7,7.5,29.81,-22.90,-25.75,,,,,,
Chromium Oxide Green ,3.3,3.3,2.7,44.19,-15.50,16.04,9.1GY,4.0,5.3,40.67,-19.64,21.12,,,,,,
Chromium Oxide Green Dark ,9.4GY,4.3,4.3,33.57,-9.37,8.61,9.1GY,2.6,4.3,26.61,-14.51,14.21,,,,,,
Cobalt Blue ,7.3PB,3.2,12.9,36.63,9.51,-46.66,6.8PB,2.8,15.5,32.37,14.71,-57.05,,,,,,
Cobalt Blue Hue ,6.8PB,3.4,11.1,36.91,5.77,-42.41,6.6PB,2.9,13.3,32.26,9.57,-50.42,,,,,,
Cobalt Green ,9.4G,3.4,3.6,35.93,-19.00,2.64,8.8G,2.5,6.0,25.94,-28.58,4.79,,,,,,
Cobalt Teal ,8.8BG,5.5,9.0,58.58,-43.11,-12.36,8.7BG,5.4,8.7,57.44,-41.87,-11.71,,,,,,
Cobalt Turquoise ,8.8BG,4.0,5.9,43.88,-28.92,-9.45,8.3BG,3.7,7.7,39.28,-37.72,-11.78,,,,,,
Cobalt Violet Hue ,4.5RP,2.8,3.7,28.98,19.04,-7.49,6.9RP,1.9,4.2,19.90,17.23,-4.34,,,,,,
Diarylide Yellow ,7.3YR,7.7,14.3,75.48,33.38,80.36,7.8YR,7.7,17.2,75.43,35.68,102.30,,,,,,
Dioxazine Purple ,8.8R,2.5,0.4,24.76,2.81,-0.17,4.7R,0.5,0.7,5.63,2.84,-0.14,,,,,,
Graphite Gray ,5.0YR,3.9,0.2,38.70,0.52,0.60,6.9YR,3.4,0.2,35.35,0.67,1.00,,,,,,
Green Gold ,5.0GY,4.5,5.2,47.20,-12.25,32.20,5.0GY,4.0,7.2,40.30,-15.93,44.62,,,,,,
Hansa Yellow Light ,7.6Y,8.8,12.1,86.94,-3.48,87.50,7.0Y,8.8,14.0,89.73,-1.71,105.50,,,,,,
Hansa Yellow Medium ,1.6Y,8.0,14.0,78.51,18.46,89.29,2.7Y,7.9,16.6,78.24,16.94,111.31,,,,,,
Hansa Yellow Opaque ,3.5Y,8.5,13.8,85.41,11.09,93.99,3.9Y,8.6,16.0,84.79,11.49,109.40,,,,,,
Hookers Green Hue ,6.3BG,2.6,0.4,26.85,-2.63,-0.14,5.7BG,0.9,1.1,10.45,-5.88,-0.44,,,,,,
Indian Yellow Hue ,3.8YR,5.3,9.8,55.20,28.90,48.11,6.2YR,4.9,11.8,49.21,28.67,65.99,,,,,,
Jenkins Green ,2.6BG,2.5,0.9,26.47,-3.30,-0.58,3.4BG,1.1,1.7,11.87,-7.32,-0.49,,,,,,
Light Bismuth Yellow ,1.0GY,9.6,5.2,95.73,-8.17,39.82,0.5GY,9.5,5.3,95.00,-7.46,40.63,,,,,,
Light Green Blue Shade ,1.3G,6.6,12.2,66.76,-53.77,44.00,1.4G,6.5,13.5,66.28,-59.92,47.04,,,,,,
Light Green Yellow Shade ,9.2GY,7.5,11.6,76.22,-43.51,54.10,8.9GY,7.3,12.4,74.05,-45.64,60.36,,,,,,
Light Magenta ,7.8RP,7.0,9.7,70.96,37.15,2.27,8.4RP,7.0,10.5,70.95,41.58,4.22,,,,,,
Light Orange ,2.9YR,8.5,5.3,85.44,18.01,23.76,2.8YR,8.4,5.4,84.35,18.36,23.95,,,,,,
Light Phthalo Blue ,9.4B,8.0,6.4,82.65,-17.04,-21.09,9.2B,7.9,6.4,81.65,-17.11,-20.80,,,,,,
Light Phthalo Green ,2.2BG,8.8,3.9,89.66,-22.05,3.08,2.0BG,8.7,3.9,88.56,-21.91,3.23,,,,,,
Light Turquoise (Phthalo) ,3.7BG,5.1,8.8,54.33,-46.10,-0.17,3.4BG,4.6,10.2,49.12,-54.97,-0.43,,,,,,
Light Ultramarine Blue ,6.6PB,6.2,10.9,65.38,0.50,-40.37,6.6PB,5.8,11.6,61.27,2.03,-42.98,,,,,,
Light Violet ,1.0P,5.0,10.4,52.21,18.39,-35.67,0.9P,4.4,12.3,46.89,22.44,-41.86,,,,,,
Manganese Blue Hue ,1.9PB,3.6,8.4,41.18,-14.38,-31.78,2.7PB,2.4,10.0,27.63,-13.73,-37.10,,,,,,
Mars Black ,2.8R,2.5,0.1,25.47,0.51,0.16,Black,1.0,0.7,11.47,0.70,0.63,,,,,,
Mars Yellow ,1.7YR,4.7,6.9,46.65,26.79,27.60,2.7YR,4.2,8.6,42.26,30.67,37.71,,,,,,
Medium Magenta ,2.9RP,5.0,12.9,51.76,47.31,-17.15,3.4RP,4.6,14.4,48.00,52.63,-16.56,,,,,,
Medium Violet ,4.0P,3.3,6.9,34.95,19.71,-24.45,4.1P,2.4,9.2,25.63,25.91,-29.17,,,,,,
Naples Yellow Hue ,0.6Y,7.6,6.3,77.26,12.10,38.74,1.0Y,7.6,6.7,76.38,11.46,41.78,,,,,,
Napthol Red Light ,7.0R,4.7,13.8,44.02,50.85,32.40,8.9R,3.9,16.0,38.82,58.99,55.91,,,,,,
Napthol Red Medium ,5.6R,3.7,10.0,36.83,38.81,20.83,9.0R,2.9,12.7,28.92,50.68,40.00,,,,,,
Neutral Gray N2,4.4PB,2.9,0.2,28.73,-0.07,-0.88,1.7P,2.0,0.1,20.19,0.26,-0.45,,,,,,#REF!
Neutral Gray N3,7.3R,3.5,0.1,35.50,0.14,-0.25,3.3YR,2.7,0.1,27.75,0.51,0.43,,,,,,#REF!
Neutral Gray N4,1.6PB,4.2,0.2,43.38,-0.09,-0.51,9.3YR,3.8,0.1,39.44,0.22,0.47,,,,,,#REF!
Neutral Gray N5,4.4YR,5.0,0.0,52.02,-0.21,-0.28,1.7Y,4.7,0.1,48.75,0.26,0.98,,,,,,#REF!
Neutral Gray N6,1.7GY,6.1,0.1,62.49,-0.04,0.47,0.4Y,5.8,0.2,59.83,0.36,1.24,,,,,,#REF!
Neutral Gray N7,1.6Y,6.9,0.1,70.47,0.00,0.72,1.7Y,6.7,0.1,68.38,0.05,0.49,,,,,,#REF!
Neutral Gray N8,0.8PB,8.0,0.1,80.83,-0.08,0.54,4.6Y,7.8,0.2,79.19,-0.08,1.35,,,,,,#REF!
Nickel Azo Yellow ,8.4YR,5.1,7.0,52.06,12.26,40.34,3.0Y,4.9,8.9,49.27,9.50,59.94,,,,,,
Paynes Gray ,6.4PB,2.3,0.6,24.12,0.05,-2.24,5.8PB,2.0,0.7,20.65,0.01,-3.00,,,,,,
Permanent Green Light ,8.8RP,2.6,1.0,43.54,-46.94,17.96,3.6G,3.7,12.5,38.83,-64.12,0.33,,,,,,
Permanent Maroon ,4.0G,4.4,9.7,26.79,5.22,0.03,4.7R,0.7,2.7,7.76,12.81,25.66,,,,,,
Permanent Violet Dark ,8.8P,2.6,1.8,26.64,7.65,-5.02,3.1RP,0.9,4.3,9.22,17.92,-10.93,,,,,,
Phthalo Blue (Green Shade) ,9.7PB,2.4,4.8,24.95,8.48,-18.01,9.4PB,0.6,9.9,7.63,17.48,-29.67,,,,,,
Phthalo Blue (Red Shade) ,0.6P,2.3,2.2,24.42,5.29,-9.99,0.5P,0.3,10.7,3.29,9.88,-21.10,,,,,,
Phthalo Green (Blue Shade) ,6.3B,2.5,1.6,27.19,-8.89,-4.80,0.5B,0.8,3.8,9.88,-17.31,-7.16,,,,,,
Phthalo Green (Yellow Shade) ,2.2BG,2.7,2.5,27.82,-11.83,-0.17,2.1BG,1.0,5.1,11.37,-27.87,0.01,,,,,,
Primary Cyan ,5.2PB,3.3,8.5,34.97,-3.22,-32.28,5.0PB,2.8,9.3,30.67,-4.77,-35.92,,,,,,
Primary Magenta ,5.1R,4.0,11.3,40.82,46.03,21.21,6.4R,3.6,12.8,35.49,52.86,29.27,,,,,,
Primary Yellow ,4.6Y,8.6,13.2,84.60,7.27,90.03,4.4Y,8.6,14.8,84.99,7.93,103.17,,,,,,
Prussian Blue Hue ,2.8P,2.3,0.6,24.61,2.16,-3.37,10.0PB,0.5,2.0,5.42,2.54,-7.40,,,,,,
Pyrrole Orange ,8.6R,5.6,16.0,55.97,59.52,53.43,9.5R,5.4,18.7,53.54,65.74,78.33,,,,,,
Pyrrole Red ,5.8R,4.2,13.9,42.26,54.60,31.25,8.2R,3.9,17.4,39.06,64.97,55.65,,,,,,
Pyrrole Red Dark ,5.0R,3.7,11.2,37.35,44.50,21.51,8.0R,3.3,14.9,32.06,58.65,42.21,,,,,,
Pyrrole Red Light ,6.8R,4.7,14.4,47.70,56.46,37.62,8.4R,4.5,17.9,44.65,65.95,60.39,,,,,,
Quinacridone / Nickel Azo Gold ,0.5YR,3.6,5.3,37.17,19.79,17.81,3.0YR,2.4,5.6,23.98,20.67,13.46,,,,,,
Quinacridone Burnt Orange ,6.5R,2.9,3.0,29.15,10.72,4.99,1.5YR,1.5,4.6,14.93,20.72,8.20,,,,,,
Quinacridone Crimson ,3.0R,2.6,2.6,28.50,14.39,3.26,8.6R,1.2,5.9,12.03,26.30,1.85,,,,,,
Quinacridone Magenta ,0.7R,3.1,6.5,31.41,27.69,2.75,3.2R,1.8,8.9,18.22,38.26,22.95,,,,,,
Quinacridone Red ,3.9R,3.6,9.5,37.74,40.88,15.20,6.2R,3.1,12.0,30.73,51.31,25.51,,,,,,
Quinacridone Red Light ,4.9R,4.2,10.8,41.83,45.16,21.57,7.1R,3.6,12.1,35.58,50.80,30.20,,,,,,
Quinacridone Violet ,2.8R,2.9,5.9,29.40,22.71,6.07,8.6R,1.9,9.6,18.55,39.55,18.65,,,,,,
Raw Sienna ,7.6YR,5.0,5.6,50.21,16.55,30.47,8.2YR,4.7,7.2,47.61,18.71,40.99,,,,,,
Raw Umber ,10.0YR,2.9,0.7,29.25,1.04,2.67,1.0Y,2.3,0.7,23.10,1.50,3.64,,,,,,
Red Oxide ,8.6R,3.8,7.2,37.84,26.66,18.07,0.4YR,3.1,8.1,30.32,33.51,28.29,,,,,,
Sap Green Hue ,8.6GY,2.7,1.0,27.81,-3.43,1.30,0.1G,1.2,2.1,12.85,-7.10,5.11,,,,,,
Smalt Hue ,8.2PB,2.5,3.3,25.69,3.69,-14.17,6.6PB,1.0,0.9,10.41,0.47,-4.32,,,,,,
Teal ,9.3BG,5.9,9.4,62.40,-45.25,-13.35,8.9BG,5.9,9.5,62.23,-45.88,-12.34,,,,,,
Terre Verte Hue ,7.9GY,3.5,2.1,35.10,-7.21,8.47,8.5GY,2.8,2.2,28.61,-7.13,7.70,,,,,,
Titan Buff ,2.5Y,8.5,2.0,84.57,2.01,16.99,2.2Y,8.2,2.0,82.90,1.22,15.14,,,,,,
Titan Green Pale ,5.9GY,8.0,1.7,80.49,-4.97,11.74,5.8GY,7.9,1.8,79.54,-4.97,11.88,,,,,,
Titan Mars Pale ,1.6YR,8.2,3.5,82.25,12.42,13.12,1.8YR,8.0,3.5,81.16,12.39,13.30,,,,,,
Titan Violet Pale ,1.0RP,8.7,2.0,87.85,4.32,-1.64,1.3RP,8.6,2.0,86.73,4.25,-1.51,,,,,,
Titanate Yellow ,9.5Y,9.0,7.5,88.93,-6.36,56.29,9.6Y,9.0,8.2,89.69,-7.50,61.88,,,,,,
Titanium White ,0.2GY,9.7,0.2,98.28,-0.90,1.67,N10,10.0,1.1,99.38,-0.71,2.50,,,,,,
Transparent Brown Iron Oxide ,2.9YR,2.8,0.8,29.07,3.72,3.12,6.1YR,1.2,2.4,12.07,10.11,11.33,,,,,,
Transparent Pyrrole Orange ,7.8R,4.9,14.1,46.97,53.49,37.41,9.7R,4.0,14.6,40.11,53.56,56.51,,,,,,
Transparent Red Iron Oxide ,8.1R,3.2,3.2,32.80,16.85,8.85,2.5YR,2.4,6.2,23.88,24.07,23.73,,,,,,
Transparent Yellow Iron Oxide ,6.3YR,4.7,5.2,48.08,16.36,25.53,10.0YR,4.6,6.9,46.51,15.40,41.76,,,,,,
Turquoise (Phthalo) ,4.8PB,2.4,1.5,25.76,-1.64,-8.12,5.0PB,0.6,4.6,6.95,-3.86,-14.16,,,,,,
Ultramarine Blue ,9.5PB,2.4,8.0,24.36,12.28,-25.74,9.2PB,1.3,5.0,14.26,10.57,-20.61,,,,,,
Ultramarine Violet ,0.5P,2.4,4.9,25.37,8.43,-15.84,0.1P,1.7,3.3,17.88,7.66,-14.33,,,,,,
Van Dyke Brown Hue ,8.2YR,2.5,0.1,27.04,0.34,-0.04,1.9Y,0.9,0.8,9.02,2.12,4.60,,,,,,
