#,Color name,series #,hue,Value,Chroma,lightfastness “I”,opacity,pigment*,pigment name
116,Alizarin crimson hue permanent,2,3.30r,2.86,3.94,i,tp,m,"quinacridone (pr 206), quinacridone (pr 202)"
660,bright Aqua green,1,4.88bg,6.03,9.04,i,o,m,"chlorinated copper phthalocyanine (pg 7), copper phthalocyanine (pb 15), titanium dioxide (pw6)"
570,brilliant blue,1A,7.91b,5.08,9.61,i,o,m,"copper phthalocyanine (pb 15:3), chlorinated copper phthalocyanine (pg 7), titanium dioxide (pw6)"
590,brilliant purple,1,1.73p,5.01,11.15,ii,o,m,"carbazole dioxozine (pv 23 rs), titanium dioxide (pw6)"
840,brilliant yellow green,1,6.22gy,8.07,10.07,ii,tl,m,"phthalocyanine green (pg 7), titanium dioxide (pw6), Arylide yellow 10g (py 3), Arylide yellow fgl (py 97)"
530,bronze yellow,1,1.77 y,5.26,4.9,i,o,m,"synthetic iron oxide yellow (py 42), synthetic iron oxide red (pr 101), synthetic iron oxide black (pblk11)"
127,burnt sienna,1,0.2yr,3.43,4.16,i,o,s,calcined natural iron oxide (pbr 7)
128,burnt umber,1,4.22yr,2.63,0.92,i,o,s,calcined natural iron oxide containing manganese (pbr 7)
150,cadmium orange,4,3.06yr,6.86,14.99,i,o,s,cadmium orange (po 20)
720,cadmium orange hue,2,3.98yr,6.98,13.01,i,tl,m,"perninone orange (po 43 dl), titanium white (pw6), diarylide yellow hr70 (py 83)"
311,cadmium red deep hue,2,5.00r,3.29,8.25,i,o,m,"naphthol carbamide (pr 170 f3rk), quinacridone violet b (pv 19)"
152,cadmium red light,5,7.67r,4.96,14.11,i,o,s,cadmium red (pr 108)
510,cadmium red light hue,2,7.50r,5.01,13.4,i,tl,m,"naphthol As-ol (pr 9), Arylide yellow 5gx (py 74 lf), titanium dioxide (pw6)"
154,cadmium red medium,5,6.28r,4.48,13.82,i,o,s,cadmium red (pr 108)
151,cadmium red medium hue,2,6.25r,4.3,13.59,i,o,m,"naphthol crimson (pr 170 f3rk), Arylide yellow fgl (py97)"
